cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s
UPK_648,Sim+2019,,243.5346534158312,0.0555609520917018,-23.197018411007274,0.0340645290754286,351.9964534337946,19.79899076465588,-10.465817441448378,0.0758088499026274,-23.09013955576212,0.052811001380804,6.829905321642984,0.0615420594281187,1.4328572502496368,587,5.671173771560903,-6.632112503051758,20.571848795668792,17.086882453151617,695,-4.923670750899281,0.1431695183554848,0.5584653078854739,-4.994785308837891,9.856681380042,1.175824175824176,956,-5.5664092295596825,1.7341926841608133,-5.320914027671213,12.3644971071105,,0,,,,,2,-1.6334999799728394,0.232999999076128,-1.6334999799728394,0.3335000276565552,0,,,,,1377,136.73119626875032,9.380476689976105,1377,-19.324225108112195,4.815425038590791,1377,49.63325423034564,7.214061839669241,956,-5.556389651233832,11.504511561252231,956,-16.082966317418574,1.806464716513673,956,-7.23002444688248,4.270709974553417,5.543610348766167,-3.8429663174185738,0.0199755531175203,19.952631912548657,1377,351.95566267097126,19.769800957977683,5.678373327555267,5678.373327555267
UPK_523,Sim+2019,,120.19986503593482,0.0316762060358904,-50.75391543305361,0.0342420529628145,265.0137511012567,-10.679625662643325,-5.283843833155263,0.0426125733748726,5.74213805140058,0.0433797041575113,2.1183082779878544,0.0359260275744009,1.0628710760586504,32,5.170088291168213,11.165850639343262,8.667869148677305,18.0,0,,,,,,,32,10.136615101248026,5.170088224112988,11.165850639343262,8.667869148677282,,0,,,,,0,,,,,0,,,,,69,-40.34930982098889,2.858462037427417,69,-462.48561276572974,12.889802267270005,69,-87.55829455438318,3.44588582955316,32,-17.78256621473039,0.6617814360054564,32,-7.735211579584297,8.520483212278592,32,-5.543525185526745,1.6006567260060345,-6.682566214730391,4.504788420415704,1.706474814473255,19.952631912548657,69,265.0138855618276,-10.680787489648106,-4.15551624297238,-4155.51624297238
CWNU_1048,He+2022,,122.32360562606262,0.0357786118984222,-36.30863877959008,0.0419673204421997,253.4541946581552,-1.7786370199584358,-7.470519354047956,0.0485694050788879,11.016877132354258,0.0538820266723632,2.790680364224955,0.046308958530426,2.153155708312988,7,5.324354989188058,9.32697868347168,37.67733543954952,13.428571428571429,0,,,,,,,7,20.444630690983363,5.324355023247855,9.32697868347168,37.67733543954952,,0,,,,,0,,,,,0,,,,,20,-102.08440143364768,3.84881067422674,20,-343.56972559844627,9.15863348245557,20,-11.131704812114046,0.5203498618778478,7,-27.561536476249007,12.049587287612356,7,-13.071567480144251,35.73359548694464,7,-1.1829594990901668,1.419893403259025,-16.46153647624901,-0.8315674801442512,6.067040500909833,1.0,20,253.451808237056,-1.7789282703664582,5.294743353384013,5294.743353384013
OC-0478,Hao+2022,,122.68004562856376,0.0361198186874389,-47.47703757115524,0.0434588474385878,263.0306434640483,-7.590900710880521,-6.804854322726207,0.0483969169504502,9.80172691195038,0.0590363881167243,3.0011573949894084,0.0448885314604815,1.2310576719396256,8,5.303922653198242,15.266193389892578,14.439371009816396,16.375,0,,,,,,,8,18.33641006199383,4.365321355273942,14.896764755249023,11.13090534167914,,1,14.0,0.2399999946355819,14.0,0.0,0,,,,,0,,,,,17,-40.084205055536174,0.6518828056798353,17,-327.90050668484224,4.265562869199686,17,-44.02443516722673,0.7017540395155858,8,-21.24974355251877,1.445286717801535,8,-15.581295470522644,10.990427364920633,8,-3.376458800856094,1.4240715896658096,-10.14974355251877,-3.341295470522644,3.873541199143906,12.589254117941662,17,263.0304560890076,-7.591048621689699,3.9966331604688574,3996.6331604688585
OC-0407,Hao+2022,,107.41136995400856,0.0330741188742897,-25.22187047984239,0.045180548321117,237.48475455552327,-7.493203563238715,-4.808578687527876,0.0430469892241738,3.59092968607536,0.0559822158379988,1.5862977015547848,0.0590607252987948,1.367209261113947,7,7.074822562081473,27.14274024963379,15.188613541441068,30.428571428571427,0,,,,,,,7,23.377796990530832,7.074822459902082,27.14274024963379,15.188613541440947,,0,,,,,0,,,,,0,,,,,22,-338.45511431694666,30.041098289746195,22,-530.9439648565602,46.97976291451451,22,-82.81657975521772,7.315201570668101,7,-26.466831645717523,8.937584690913297,7,-9.246189121233746,12.152754821454804,7,-11.796690062508068,2.552883848148245,-15.366831645717523,2.9938108787662543,-4.546690062508068,19.952623149688787,22,237.48415163128672,-7.493039806819916,6.279603756659251,6279.60375665925
CWNU_1004,He+2022,,239.736103189556,0.0405392547448476,-42.04954638339587,0.0276695390542348,336.1533339635234,8.414635241012428,-11.111069695927592,0.0541010499000549,-23.680795991483524,0.0410792902112007,6.252336997689593,0.0507309635480245,1.5792007446289062,7,4.822848728724888,-3.558378934860229,16.345597011493464,15.142857142857142,0,,,,,,,7,-7.979070723056793,4.822849103382656,-3.558378934860229,16.34559701149346,,0,,,,,0,,,,,0,,,,,24,144.72380973968464,1.7234412963789327,24,-63.97978069040773,1.6389809378964175,24,23.403330833555746,1.2505274129495991,7,-13.474222572626148,14.701314359385028,7,-14.034405418008053,6.318746762755906,7,-9.281058485684811,2.710203477019029,-2.3742225726261488,-1.7944054180080524,-2.031058485684812,11.22018947073786,24,336.1506445559532,8.413175718361934,-1.7275587815813722,-1727.5587815813722
CWNU_1135,He+2022,,110.97484271456754,0.0382396268844604,-44.03075958788932,0.0418019437789917,255.98070398930247,-13.098054904084751,-4.8289632546844805,0.0510853910446167,10.03552255371316,0.0536817693710327,2.5941518212340147,0.0432227945327758,1.1335257720947265,6,4.796326955159505,16.081745147705078,30.19608146052532,19.0,0,,,,,,,6,12.473265826702118,4.796326994895935,16.081745624542236,30.19608146052532,,0,,,,,0,,,,,0,,,,,25,-90.99152552536036,5.900441757479857,25,-364.38009763372895,7.636997571404525,25,-87.37957914837028,2.2115602409237507,6,-22.790796746111724,6.95609058824809,6,-6.59265489085313,28.429375501627028,6,-2.948842537618668,6.777089217579849,-11.690796746111724,5.64734510914687,4.301157462381332,8.912505467113453,25,255.9790745906084,-13.09737488111673,-3.5525139956692096,-3552.5139956692096
UPK_36,Sim+2019,,281.8603739250438,0.0437416260059063,-2.352466933237404,0.043127390054556,30.382782538572865,-0.1839848652740195,0.1726882810307701,0.0537191280951866,-6.298017263716098,0.0473601267887995,1.5897110404474188,0.0518076309790978,1.0569827740009017,15,11.25124003092448,7.615198135375977,29.84627129930748,10.2,2,-16.077688217163086,0.7177770137786865,7.161510944366455,-16.077688217163086,1.0307736396790654,15.5,17,5.626612438875086,10.012009590864182,6.958368301391602,29.13649154987735,,0,,,,,0,,,,,0,,,,,65,543.6378279918991,23.16209778953413,65,318.7225207220233,13.488219547635811,65,-2.010960261228901,3.4782343876031767,17,13.218770022239664,25.08293138041292,17,-11.45125562240448,14.814454017776264,17,-9.066911464945694,1.0432889037553137,24.31877002223966,0.7887443775955205,-1.8169114649456937,1.778279410038923,65,30.382128296719728,-0.1828354534702471,21.383717189304843,21383.717189304843
OC-0479,Hao+2022,,119.5327226001351,0.0400078955449556,-49.23449330204605,0.0425714881796585,263.45743334226256,-10.289614181103747,-5.3728247615536135,0.0542040122182745,8.214255756112648,0.0545807637666401,2.464066062235606,0.0445962610997651,1.1958531831440171,11,6.7715911865234375,19.614362716674805,50.12626871402532,18.454545454545453,0,,,,,,,11,9.30541922829368,6.771591901779175,19.614362716674805,50.12626871402532,,0,,,,,0,,,,,0,,,,,38,-45.52907155229946,1.290823370909841,38,-396.9978285789612,10.755296975173968,38,-72.54721421703816,2.179940178238058,11,-19.77562612169245,5.442638388634653,11,-6.767776003917035,49.02369472282608,11,-2.7013711537432807,8.902145307285114,-8.675626121692455,5.472223996082965,4.548628846256719,10.0,38,263.4577057824611,-10.289948384346626,-5.189095543382567,-5189.095543382567
LP_2270,He+2022,,103.59232861658232,0.0267430523463657,-24.271340927618688,0.0394974000113351,235.08709472147524,-10.198400148020678,-2.8158325322817763,0.0363173457554408,3.5195806716005134,0.048647471836635,1.1221791767244649,0.0509957177298409,1.1055826241629465,41,7.743974639148247,36.41950225830078,16.703481863084807,31.414634146341463,0,,,,,,,41,33.43080923033924,7.743974540291763,36.41950225830078,16.703481863084654,,0,,,,,0,,,,,0,,,,,175,-503.0047015558643,23.430172436043257,175,-720.7029543068023,33.389587859265056,175,-158.11403396435225,8.204229447300024,41,-33.7060390363182,9.37267194723514,41,-15.654151137247917,13.508294930832898,41,-10.096187602257467,3.2121614819656155,-22.6060390363182,-3.4141511372479165,-2.8461876022574675,11.22018947073786,175,235.0874161082744,-10.198669378435977,15.993008043138738,15993.008043138738
