cluster,ref,SimbadName,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,age,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,N_dr3,radial_velocity,radial_velocity_error,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_std,X,X_std,Y,Y_std,Z,Z_std,U,U_std,V,V_std,W,W_std,3Dvel
NGC_1980,CantatGaudin+2020,NGC 1980,83.7972295,0.02870979782,-5.930378523,0.02573962448,1.224534069,0.0371652477,0.5743429606,0.03191157215,2.611042898,0.0407425707,7.119999886,1.108184436,15.09186043,16.24987691,14.03537191,2.214503225,1.161779531,1.052723885,44,17.19867776,6.041012851,26.52568475,22.09090909,72,27.02067057,0.1242836338,1.652191894,4.520850052,2.95890411,81,26.65422495,0.535279806,4.730698239,-314.0100137,6.239538498,-177.7475019,3.509650242,-128.8158769,2.582447675,-22.53582894,3.89563731,-12.81963922,2.181980298,-6.652140357,1.664477819,26.76672761
NGC_1981,He+2022,,80.59884469,0.05546247612,-4.74795561,0.0445476211,0.472832454,0.07247841474,-1.260053437,0.05667496962,3.044529217,0.07675494345,7.050000191,1.63334315,15.34503628,16.54957714,14.24654727,2.30303007,1.204540068,1.098489903,418,16.93435654,5.095194985,34.41757699,24.85406699,78,27.49947103,0.2344779497,2.743951868,27.94573828,2.333333333,450,19.09648716,4.134474153,34.03159056,-272.4518432,18.0410778,-137.7822466,13.06751478,-122.927737,12.26142799,-14.66950314,27.80799933,-9.963940662,14.51040246,-7.463938683,13.53559803,19.24018754
NGC_2183,CantatGaudin+2020,NGC 2183,92.70808698,0.04665530186,-6.222254989,0.04840115859,-3.56955824,0.05790135952,0.4568918432,0.05661152418,1.202961005,0.05913840349,7.239999771,1.094222069,15.78881014,16.86861764,14.74204987,2.126567915,1.1012292,1.025338715,6,41.98034668,6.520142237,17.87437504,13.83333333,5,20.11862183,0.8875846863,2.822062874,12.61540064,2.6,8,34.14420002,3.699026409,21.57970908,-680.6802622,59.52376865,-457.4407711,40.12963799,-172.046951,14.72793235,-30.55203035,17.57883059,-10.28118458,11.89911202,-17.95532422,4.270458327,36.89882089
NGC_2232,CantatGaudin+2020,NGC 2232,96.88804438,0.0487992307,-4.692771741,0.05156593627,-4.722746747,0.05971339916,-1.789199293,0.05715071901,3.120820639,0.06027453504,7.25,1.120612855,15.0528071,16.19304771,14.08734001,2.105707696,1.140239959,0.9654678182,54,22.48008672,6.25185366,10.73985929,10.12962963,3,43.27177938,0.5374343395,8.249020259,13.65187029,4.666666667,56,23.71309704,5.962261389,11.91854733,-262.3471171,7.885716573,-179.6974229,6.203883352,-41.55182466,2.674500785,-19.03381228,9.741776732,-12.09667461,6.698881136,-10.54811066,1.644494098,24.89735297
NGC_7023,He+2022,,317.6362626,0.05909453606,68.70848898,0.05919868605,7.703038908,0.07883297667,-1.107712976,0.07479660852,2.906571433,0.06106756171,6.75,2.316985928,15.37640505,16.74672777,14.19344283,2.553286805,1.370323648,1.182963157,37,-18.15923907,6.108797228,22.82399207,16.56756757,0,nan,0,0,nan,0,37,-18.15923978,5.948039347,22.82399207,-86.70360652,6.713166428,322.7294547,10.19774702,82.98535045,3.628854666,-2.944538217,6.264314209,-16.4649608,21.29655335,-14.66240267,5.391439433,22.24300546
NGC_7039,CantatGaudin+2020,NGC 7039,317.6539132,0.03704933726,45.60159053,0.03972235076,-0.2774698144,0.05140806776,-2.605440335,0.0500072033,1.307092013,0.04650252893,7.340000153,1.085144813,15.44628346,16.35156922,14.55649392,1.795075583,0.9052868064,0.8897887064,35,-7.496267264,7.416777693,17.71356551,17.42857143,0,nan,nan,nan,nan,nan,35,-7.49626661,7.416777807,17.71356551,28.98205544,4.07917397,769.9163107,84.39086712,-22.77839324,3.591042893,7.763091453,1.528191387,-7.970931061,17.72943199,-5.553575393,1.051919223,12.4355752
OC-0115,Hao+2022,,306.1615797,0.0375667572,39.01026473,0.04516755342,-1.379173528,0.05074883699,-3.685860407,0.05903632641,1.055539434,0.04885146916,6.9,1.170941257,15.83850098,16.96265717,14.78163147,2.181026649,1.124155807,1.056871033,3,1.017856598,7.091504415,18.07746227,22.33333333,7,-9.914549691,0.3733303547,0.5200235503,5.402574391,2.714285714,9,-4.760441081,1.639664823,11.15284572,207.258104,9.856084917,926.7830112,44.50076045,12.79671453,1.253169823,15.67740317,3.283187783,-8.34055647,10.71402363,-3.569438727,1.227855607,18.11316497
OC-0136,Hao+2022,,314.5771108,0.06361539224,43.88702275,0.06809757036,-0.6633149215,0.08294501725,-3.07252151,0.08391908337,1.269971837,0.07998871803,6,1.819231931,16.14727963,17.70395795,14.89116983,2.812787897,1.55667765,1.256110472,1,-29.4315033,1.024518371,0,18,0,nan,nan,nan,nan,nan,1,-29.4315033,1.024518371,0,67.52515652,5.457156334,789.3358617,64.22368833,-16.72958234,1.395784126,6.89368732,0,-30.24736909,0,-5.35544628,0,31.48185298
OC-0140,Hao+2022,,317.8661853,0.04863612792,46.85933358,0.05689841158,0.3837008672,0.06565160611,-3.04250168,0.07023973325,1.366670905,0.05983795138,7,2.045247246,15.62913064,16.39369392,14.54713631,1.846556425,0.8774241209,0.9691322446,7,2.81190518,7.683612823,8.981351001,14,0,nan,nan,nan,nan,nan,7,2.811905096,7.683612389,8.981351001,14.51672859,0.9078323635,733.6320655,39.18997829,-12.02591327,0.7772748996,6.631527129,1.503949507,2.542122586,9.003475682,-8.770305769,1.499563647,11.28529143
OC-0204,Hao+2022,,315.5038828,0.03616930246,77.0314959,0.03763231039,5.410176748,0.04790910482,3.861974608,0.04545654456,2.668913322,0.03863282998,6.3,1.927196121,14.40198161,15.61447144,13.18277095,2.43170122,1.276724302,1.154976992,8,-19.82084656,6.201144218,25.66061762,18.625,0,nan,nan,nan,nan,nan,8,-19.82084662,6.201144278,25.66061762,-128.5845169,3.735663192,328.8605457,9.55060653,126.2307142,3.800807596,-4.228596849,8.152659801,-20.32470971,22.69939053,-10.24025431,8.810326357,23.14816763
